Baseline 100%T,,Baseline 0%T,,blanco,,blanco1,,t1_casca,,t1_topo,,t1_meio,,t1_base,,s1_0_20,,s1_20_40,,s1_40_60,,t4_casca,,t4_topo,,t4_meio,,t4_base,,s4_0_20,,s4_10_40,,s4_40_60,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R
2123,74.70217896,2123,0.01309713,2123,100.5527725,2123,101.3590469,2123,68.03205872,2123,68.50174713,2123,66.21463776,2123,68.28127289,2123,69.45465088,2123,65.31882477,2123,62.03783798,2123,54.06463623,2123,51.57747269,2123,52.36315918,2123,54.55657196,2123,50.80571747,2123,49.83352661,2123,52.44312286
2122.5,75.07107544,2122.5,0.142027944,2122.5,100.0031204,2122.5,99.87560272,2122.5,67.24446106,2122.5,68.05207062,2122.5,65.6116333,2122.5,68.15465546,2122.5,67.93443298,2122.5,64.05747986,2122.5,61.05508041,2122.5,53.98931503,2122.5,51.77490616,2122.5,51.7562561,2122.5,53.09752655,2122.5,51.35428238,2122.5,49.97849655,2122.5,52.42036057
2122,75.30093384,2122,0.036139075,2122,99.34816742,2122,100.900444,2122,67.62252808,2122,67.03354645,2122,66.97357178,2122,67.57516479,2122,67.74737549,2122,63.87203217,2122,60.44001007,2122,53.71437836,2122,51.34996033,2122,51.5916214,2122,53.87089157,2122,50.62113571,2122,49.70721817,2122,51.58312225
2121.5,74.93359375,2121.5,-0.967427254,2121.5,100.7154007,2121.5,98.90854645,2121.5,67.7102356,2121.5,69.4964447,2121.5,67.22994995,2121.5,67.73197174,2121.5,69.12915802,2121.5,64.43872833,2121.5,62.02705002,2121.5,54.62553024,2121.5,53.14656448,2121.5,53.12550735,2121.5,54.59551239,2121.5,51.97606659,2121.5,49.96529388,2121.5,53.46956253
2121,75.53676605,2121,0.02016291,2121,99.63037109,2121,99.44043732,2121,67.17306519,2121,67.68966675,2121,65.87841797,2121,67.60617828,2121,67.3923111,2121,63.84589005,2121,60.45691299,2121,54.38739777,2121,52.19811249,2121,52.64331818,2121,53.68959808,2121,49.94050217,2121,49.9562645,2121,52.96255493
2120.5,74.93672943,2120.5,-0.346380264,2120.5,100.4318085,2120.5,100.1580811,2120.5,67.70085144,2120.5,68.43816376,2120.5,66.5120163,2120.5,67.54880524,2120.5,68.99165344,2120.5,64.93300629,2120.5,61.90958786,2120.5,53.32745743,2120.5,51.65154266,2120.5,52.68714523,2120.5,55.05804443,2120.5,51.3429985,2120.5,49.90006638,2120.5,52.47980499
2120,74.72052002,2120,0.10437005,2120,101.2751007,2120,101.5936584,2120,68.70990753,2120,68.14305115,2120,66.94822693,2120,67.49329376,2120,68.50875854,2120,64.7493515,2120,61.64175415,2120,54.31136322,2120,53.10205841,2120,52.40564346,2120,52.57758331,2120,51.30289841,2120,49.92615891,2120,52.53715515
2119.5,75.32495117,2119.5,-0.452466071,2119.5,100.3068085,2119.5,99.95052338,2119.5,67.47732544,2119.5,68.23789215,2119.5,66.84056854,2119.5,68.30744934,2119.5,68.60243988,2119.5,63.90517426,2119.5,60.92453766,2119.5,54.79675674,2119.5,52.50154114,2119.5,52.34841156,2119.5,55.40489578,2119.5,51.11491776,2119.5,49.60012436,2119.5,52.74141312
2119,76.10205841,2119,-0.059870053,2119,99.04199982,2119,98.96609497,2119,67.66671753,2119,67.34337616,2119,65.70716858,2119,66.18582916,2119,67.27575684,2119,63.81102753,2119,60.57056808,2119,53.68983841,2119,51.30932236,2119,51.19711685,2119,53.1043129,2119,50.12651062,2119,48.79430389,2119,51.63297653
2118.5,75.9613266,2118.5,0.172314912,2118.5,99.66182709,2118.5,99.48812103,2118.5,65.86100006,2118.5,67.05445862,2118.5,65.53717041,2118.5,67.35932159,2118.5,67.78646088,2118.5,63.03607941,2118.5,60.12831497,2118.5,52.88007355,2118.5,50.92253113,2118.5,51.650177,2118.5,52.910923,2118.5,49.45285416,2118.5,49.38040543,2118.5,51.92142868
2118,75.29367065,2118,0.378532082,2118,99.94727325,2118,99.70882416,2118,67.69827271,2118,68.11263275,2118,65.64920807,2118,68.64635468,2118,67.84441376,2118,64.39992523,2118,60.32230377,2118,53.97579193,2118,51.22354126,2118,52.22422409,2118,53.37400436,2118,50.64995956,2118,49.13187408,2118,51.62932968
2117.5,75.23830414,2117.5,0.192857295,2117.5,99.92397308,2117.5,100.1360168,2117.5,66.99950409,2117.5,67.60007477,2117.5,66.41297913,2117.5,67.87440491,2117.5,67.93808746,2117.5,64.62425995,2117.5,60.93457794,2117.5,55.09147644,2117.5,51.10268021,2117.5,51.98284531,2117.5,53.20370102,2117.5,51.05192566,2117.5,50.06970215,2117.5,49.97711945
2117,75.7062912,2117,-0.249733985,2117,99.41493988,2117,99.89533234,2117,67.56665039,2117,67.8995285,2117,64.98883057,2117,67.27371216,2117,69.62900543,2117,63.04527664,2117,60.70278168,2117,54.69322968,2117,50.73448563,2117,52.353508,2117,54.2361145,2117,50.59766769,2117,49.50091553,2117,54.40406799
2116.5,74.88333893,2116.5,0.448038012,2116.5,100.6082535,2116.5,100.7303925,2116.5,67.82963562,2116.5,67.24951172,2116.5,66.78775787,2116.5,67.61882019,2116.5,68.92977142,2116.5,64.87792969,2116.5,60.50466156,2116.5,54.41588593,2116.5,51.43370056,2116.5,52.2231102,2116.5,53.32514572,2116.5,50.35440826,2116.5,49.31259155,2116.5,52.81431198
2116,75.57408905,2116,-0.112313427,2116,99.2984314,2116,100.1080017,2116,67.85713196,2116,67.09658051,2116,66.1894455,2116,67.74597931,2116,67.762146,2116,63.5002594,2116,61.29473495,2116,54.32429886,2116,51.26567459,2116,52.1942482,2116,52.63850021,2116,50.14431381,2116,49.65357971,2116,51.55330276
2115.5,75.57691193,2115.5,0.264380366,2115.5,99.58530426,2115.5,99.8065567,2115.5,67.32637787,2115.5,66.67137909,2115.5,66.42914581,2115.5,67.5345993,2115.5,68.6071167,2115.5,62.69756699,2115.5,60.74423981,2115.5,53.98562622,2115.5,51.86096954,2115.5,51.72245407,2115.5,50.97612,2115.5,50.32595444,2115.5,49.50597,2115.5,51.56754303
2115,75.52780151,2115,-0.295287222,2115,100.4962006,2115,100.1865387,2115,67.43539429,2115,67.7019577,2115,65.83972931,2115,67.3595047,2115,68.0056076,2115,63.20806122,2115,60.65230942,2115,54.10400772,2115,51.72871399,2115,52.18664932,2115,54.06985474,2115,51.21900558,2115,49.59749603,2115,52.23178101
2114.5,75.70635986,2114.5,0.024185523,2114.5,100.5505829,2114.5,100.6466599,2114.5,66.49602509,2114.5,66.58631134,2114.5,65.34114075,2114.5,67.47707367,2114.5,68.10124207,2114.5,64.18229675,2114.5,60.74596786,2114.5,54.0078392,2114.5,52.20610428,2114.5,51.06284714,2114.5,52.62633514,2114.5,50.89662552,2114.5,49.96358871,2114.5,51.72380066
2114,75.73545837,2114,0.31973958,2114,99.57737732,2114,99.45127869,2114,66.8962326,2114,66.9393692,2114,65.41259003,2114,67.2184906,2114,67.74359131,2114,62.8883667,2114,60.28821945,2114,53.68593979,2114,51.3574295,2114,51.63214111,2114,53.55183411,2114,49.89411545,2114,49.26824188,2114,51.16139603
2113.5,75.63382721,2113.5,0.516514003,2113.5,99.95898438,2113.5,99.62736511,2113.5,67.24593353,2113.5,66.89877319,2113.5,65.91537476,2113.5,67.27333069,2113.5,68.1876297,2113.5,63.15472031,2113.5,60.2822113,2113.5,53.63274765,2113.5,51.61604309,2113.5,52.25305557,2113.5,53.70185852,2113.5,50.22245789,2113.5,49.18857956,2113.5,51.85982513
2113,76.07920837,2113,0.808248043,2113,99.45581818,2113,99.69236755,2113,66.64364624,2113,67.08486176,2113,65.21546173,2113,66.34277344,2113,67.56215668,2113,63.02624893,2113,59.64200974,2113,53.65782547,2113,50.33649826,2113,50.38729477,2113,51.84350586,2113,50.74365234,2113,48.37171173,2113,50.62084961
2112.5,75.52333832,2112.5,-0.139470726,2112.5,100.3832855,2112.5,100.2172012,2112.5,67.70385742,2112.5,67.97879028,2112.5,65.88710785,2112.5,67.13693237,2112.5,67.52117157,2112.5,63.73753357,2112.5,60.58772278,2112.5,54.38219833,2112.5,52.18432999,2112.5,52.03636932,2112.5,53.83786011,2112.5,50.26657104,2112.5,50.44025803,2112.5,51.22836685
2112,75.50035095,2112,-0.010463886,2112,100.1678696,2112,99.76313019,2112,67.60223389,2112,67.86562347,2112,65.99492645,2112,67.81169128,2112,68.20983124,2112,64.52746582,2112,60.61348343,2112,54.49164963,2112,51.69968033,2112,51.42648315,2112,53.6805687,2112,50.61355209,2112,49.19115448,2112,52.30039215
2111.5,75.85112762,2111.5,-1.151502967,2111.5,99.51649475,2111.5,100.3530121,2111.5,67.55399323,2111.5,67.84284973,2111.5,66.49846649,2111.5,67.69312286,2111.5,69.24988556,2111.5,63.66900635,2111.5,61.20238876,2111.5,54.22745895,2111.5,52.13746262,2111.5,53.05718231,2111.5,53.67588806,2111.5,50.87869644,2111.5,50.01765442,2111.5,52.07072067
2111,76.01979065,2111,0.551790953,2111,99.82170868,2111,99.99406433,2111,67.53863525,2111,66.99331665,2111,65.55578613,2111,67.00132751,2111,68.03356934,2111,62.61207581,2111,60.66962433,2111,53.65073776,2111,51.15803528,2111,51.42105865,2111,53.17531204,2111,50.05997467,2111,48.87878418,2111,51.73462677
2110.5,75.49678802,2110.5,0.0678261,2110.5,100.0673752,2110.5,98.20547485,2110.5,67.47299957,2110.5,67.30007172,2110.5,66.80341339,2110.5,66.83177185,2110.5,68.56091309,2110.5,63.27858734,2110.5,60.77023315,2110.5,54.36233139,2110.5,51.95876312,2110.5,52.75051498,2110.5,53.3132782,2110.5,50.7091217,2110.5,49.61741638,2110.5,52.05101776
2110,76.1343689,2110,0.287968099,2110,98.9175415,2110,99.11415863,2110,66.3864212,2110,66.79817963,2110,66.37650299,2110,67.12939453,2110,67.38764191,2110,63.42628479,2110,60.5382843,2110,53.72455597,2110,51.5278511,2110,51.59679031,2110,52.11274719,2110,49.98712158,2110,49.81116867,2110,51.55480576
2109.5,76.18335724,2109.5,-0.068100154,2109.5,99.65625763,2109.5,99.67528534,2109.5,67.45291901,2109.5,67.4385376,2109.5,65.83123779,2109.5,67.03560638,2109.5,67.73943329,2109.5,64.36965179,2109.5,60.25354385,2109.5,52.83462524,2109.5,51.89214325,2109.5,51.93920135,2109.5,52.97134399,2109.5,49.87860489,2109.5,48.72489166,2109.5,51.42645264
2109,75.8772049,2109,0.446641296,2109,100.4774475,2109,99.95718384,2109,64.54795837,2109,67.0710144,2109,65.64705658,2109,66.68123627,2109,68.144104,2109,63.91758347,2109,60.11078262,2109,54.24808884,2109,50.90270615,2109,50.98077011,2109,52.5399437,2109,50.57502365,2109,49.2026825,2109,51.96593857
2108.5,75.70854187,2108.5,0.280344695,2108.5,100.2862701,2108.5,100.4423141,2108.5,68.13018036,2108.5,67.86361694,2108.5,65.23283386,2108.5,67.07675171,2108.5,67.45547485,2108.5,63.90542984,2108.5,60.12779617,2108.5,54.1946106,2108.5,51.86122131,2108.5,51.58410645,2108.5,53.15021133,2108.5,50.77157593,2108.5,49.40839005,2108.5,50.95045471
2108,75.25337219,2108,0.34675917,2108,100.1160126,2108,101.0984268,2108,67.74467468,2108,67.48282623,2108,65.72746277,2108,67.81256866,2108,69.01281738,2108,63.78371811,2108,61.18742752,2108,54.5141983,2108,51.86023712,2108,52.74168396,2108,54.28022003,2108,50.71092987,2108,49.57032013,2108,51.85982513
2107.5,75.56325531,2107.5,-0.003817991,2107.5,100.9818802,2107.5,100.6773682,2107.5,67.69165802,2107.5,67.65960693,2107.5,66.05715179,2107.5,67.70243835,2107.5,69.0794754,2107.5,63.99266815,2107.5,60.71493149,2107.5,54.03483963,2107.5,51.30016327,2107.5,52.29475403,2107.5,53.88135147,2107.5,51.00486374,2107.5,49.72423172,2107.5,51.74899673
2107,76.05771637,2107,0.331257671,2107,100.0522842,2107,99.92269135,2107,66.96304321,2107,67.25518799,2107,65.37240601,2107,67.037323,2107,67.48307037,2107,63.84175491,2107,60.95007706,2107,54.94137573,2107,51.06835175,2107,51.24201965,2107,53.22956848,2107,49.89051056,2107,49.41059113,2107,51.74819183
2106.5,75.71891785,2106.5,-0.100539379,2106.5,100.5732651,2106.5,99.46794128,2106.5,67.61935425,2106.5,67.70314026,2106.5,65.49945068,2106.5,67.5409317,2106.5,68.35020447,2106.5,63.74901962,2106.5,60.4973259,2106.5,54.43875885,2106.5,51.92007446,2106.5,52.11154938,2106.5,54.2315979,2106.5,50.44150925,2106.5,49.99581146,2106.5,51.91109848
2106,75.97890472,2106,0.07707414,2106,99.81006622,2106,99.56137848,2106,66.73427582,2106,67.35141754,2106,65.08956909,2106,67.02766418,2106,68.22162628,2106,63.56480026,2106,60.27552414,2106,53.737854,2106,51.86416626,2106,51.61489868,2106,53.82468033,2106,51.50630951,2106,49.92585754,2106,51.43610382
2105.5,75.70613098,2105.5,0.103362799,2105.5,100.4898529,2105.5,100.1175995,2105.5,67.77383423,2105.5,68.20591736,2105.5,66.4307251,2105.5,67.38650513,2105.5,68.31851196,2105.5,63.67463303,2105.5,59.76269913,2105.5,54.17969894,2105.5,51.63822937,2105.5,52.31257248,2105.5,53.55585861,2105.5,50.35609436,2105.5,50.35158539,2105.5,52.0165329
2105,76.43055725,2105,-0.002245468,2105,99.86402893,2105,99.4740448,2105,66.7035675,2105,66.46699524,2105,63.80870819,2105,66.85822296,2105,67.64772797,2105,63.40693283,2105,59.69675827,2105,54.15985489,2105,51.68548965,2105,50.68767166,2105,52.89076996,2105,50.1789093,2105,49.52227402,2105,51.09637833
2104.5,76.06183624,2104.5,-0.087223619,2104.5,100.3293381,2104.5,99.60020447,2104.5,66.88233185,2104.5,67.38867188,2104.5,66.01623535,2104.5,67.02029419,2104.5,67.99677277,2104.5,63.59887695,2104.5,60.25453186,2104.5,53.19947433,2104.5,51.42905807,2104.5,50.96595383,2104.5,53.24084854,2104.5,49.87694168,2104.5,48.96065903,2104.5,52.15792847
2104,75.74723816,2104,-0.653552055,2104,100.542511,2104,99.97535706,2104,68.07382202,2104,67.5,2104,65.92787933,2104,67.98216248,2104,68.0150528,2104,64.2592392,2104,61.07250977,2104,54.69865036,2104,52.30957794,2104,51.83831406,2104,53.47569656,2104,51.09608841,2104,50.4026413,2104,52.8916893
2103.5,75.99098206,2103.5,-0.188204542,2103.5,100.4156342,2103.5,99.97388458,2103.5,67.42745209,2103.5,68.14438629,2103.5,66.03653717,2103.5,67.59342194,2103.5,68.36606598,2103.5,63.51965714,2103.5,60.82197952,2103.5,54.08895111,2103.5,51.88508606,2103.5,51.60160828,2103.5,53.3394165,2103.5,51.02535629,2103.5,49.53662491,2103.5,51.75231552
2103,75.91179657,2103,-0.332282335,2103,99.88552094,2103,99.965271,2103,68.11946106,2103,67.38722992,2103,66.05375671,2103,66.8839035,2103,67.62706757,2103,64.64305115,2103,60.63738632,2103,54.37914276,2103,51.48085785,2103,51.79180527,2103,53.57529449,2103,50.97154999,2103,49.47928619,2103,52.03438568
2102.5,75.75333405,2102.5,0.185390621,2102.5,100.1621704,2102.5,100.5526276,2102.5,67.28980255,2102.5,68.07426453,2102.5,65.5620575,2102.5,67.22141266,2102.5,67.51820374,2102.5,64.09223938,2102.5,60.65353012,2102.5,54.09444046,2102.5,51.15164566,2102.5,51.29679489,2102.5,52.60642624,2102.5,50.50282288,2102.5,49.97522354,2102.5,52.29943466
2102,76.01126862,2102,-0.168229133,2102,100.007103,2102,100.2704773,2102,67.17378998,2102,67.38825226,2102,65.51416016,2102,67.88731384,2102,67.88348389,2102,63.3846817,2102,60.49431992,2102,53.89723206,2102,52.00098038,2102,51.9189949,2102,53.54174805,2102,51.18262863,2102,49.03896332,2102,51.79095459
2101.5,75.76073456,2101.5,-0.345349759,2101.5,99.95661926,2101.5,100.2580185,2101.5,67.45062256,2101.5,67.34170532,2101.5,66.62793732,2101.5,67.70165253,2101.5,68.42611694,2101.5,63.89720917,2101.5,60.68679047,2101.5,51.70838928,2101.5,51.29650879,2101.5,52.93950272,2101.5,53.80781174,2101.5,50.99381638,2101.5,49.30781174,2101.5,51.73616409
2101,75.98208618,2101,0.211380824,2101,100.0424652,2101,99.94668579,2101,67.82313538,2101,67.91862488,2101,65.59431458,2101,67.11585236,2101,68.2990036,2101,63.24260712,2101,60.8102684,2101,52.4287529,2101,51.68658447,2101,51.6455307,2101,54.33478928,2101,49.86864471,2101,49.13568115,2101,51.77180099
2100.5,75.79510498,2100.5,0.12796545,2100.5,100.6322403,2100.5,100.3146286,2100.5,66.6349411,2100.5,68.16394806,2100.5,65.6214447,2100.5,67.6591568,2100.5,68.65873718,2100.5,63.54946899,2100.5,60.84367752,2100.5,54.42764664,2100.5,52.24594879,2100.5,51.79733658,2100.5,53.81206894,2100.5,50.37532043,2100.5,49.42165375,2100.5,51.75294113
2100,75.74817657,2100,-0.127850741,2100,100.4022217,2100,100.5200043,2100,67.62802887,2100,67.63019562,2100,66.1170578,2100,68.27192688,2100,67.7064743,2100,63.62199783,2100,60.77687836,2100,54.08238602,2100,52.07856369,2100,52.15576172,2100,53.93225479,2100,50.70307922,2100,50.07590103,2100,52.22491455
2099.5,76.4665451,2099.5,0.384531021,2099.5,99.515625,2099.5,99.57824707,2099.5,66.02680969,2099.5,67.18141174,2099.5,65.52751923,2099.5,66.24327087,2099.5,67.96389771,2099.5,62.86466599,2099.5,59.37702179,2099.5,52.18838501,2099.5,50.50088882,2099.5,51.00125122,2099.5,52.25049973,2099.5,50.09844208,2099.5,48.84899521,2099.5,52.06315994
2099,75.48963165,2099,0.468821138,2099,101.8823395,2099,100.8494263,2099,67.72080994,2099,67.85625458,2099,66.46062469,2099,67.14954376,2099,68.3580246,2099,64.46826172,2099,60.67331314,2099,56.05348206,2099,51.1557045,2099,52.10596848,2099,52.90522003,2099,50.64009857,2099,49.81303406,2099,51.83273697
2098.5,76.24111938,2098.5,-0.405224234,2098.5,100.5413284,2098.5,100.3299942,2098.5,68.19296265,2098.5,67.55564117,2098.5,65.10108948,2098.5,67.10229492,2098.5,68.23636627,2098.5,63.14697266,2098.5,60.49681473,2098.5,54.2743454,2098.5,51.46886063,2098.5,51.77178192,2098.5,54.17363739,2098.5,50.71628189,2098.5,48.84726715,2098.5,52.32042694
2098,75.71099854,2098,0.119504869,2098,100.0155716,2098,100.5292053,2098,67.34257507,2098,66.122612,2098,65.80765533,2098,67.60770416,2098,68.61378479,2098,63.42616653,2098,60.99478531,2098,54.19067764,2098,52.06874084,2098,51.63895035,2098,53.11231613,2098,50.70980072,2098,49.90583038,2098,51.93237686
2097.5,76.26714325,2097.5,-0.070769429,2097.5,99.72123718,2097.5,100.1068726,2097.5,67.0135498,2097.5,67.03925323,2097.5,65.49872589,2097.5,66.91591644,2097.5,68.16397095,2097.5,62.9587822,2097.5,59.51343918,2097.5,53.87966156,2097.5,51.2699585,2097.5,51.6997261,2097.5,53.68468857,2097.5,50.46292114,2097.5,49.83988953,2097.5,52.07945633
2097,75.9068985,2097,0.618296325,2097,100.9404907,2097,100.1028214,2097,67.55966949,2097,67.08425903,2097,66.35792542,2097,66.13119507,2097,68.00423431,2097,63.12360001,2097,60.07178497,2097,53.2698288,2097,51.32923889,2097,51.1558342,2097,52.77471542,2097,49.87707901,2097,49.2281723,2097,51.79377365
2096.5,75.78220367,2096.5,0.046034873,2096.5,100.0072327,2096.5,100.7661362,2096.5,67.34119415,2096.5,67.71152496,2096.5,65.85079193,2096.5,67.24472809,2096.5,68.07653046,2096.5,64.47379303,2096.5,60.6017952,2096.5,53.99225235,2096.5,51.6140213,2096.5,51.52907562,2096.5,53.03807831,2096.5,50.13569641,2096.5,49.5062027,2096.5,51.30761337
2096,75.41699982,2096,-0.463745654,2096,101.2559052,2096,100.7529755,2096,67.70666504,2096,68.47766113,2096,66.34334564,2096,68.2747879,2096,68.51706696,2096,64.15349579,2096,61.67232895,2096,54.68028259,2096,51.6786499,2096,52.32480621,2096,54.01674652,2096,50.80038834,2096,50.15340424,2096,52.45227814
2095.5,76.06671143,2095.5,-0.066908062,2095.5,100.0458374,2095.5,100.9568329,2095.5,67.27452087,2095.5,67.13160706,2095.5,64.8527832,2095.5,66.9372406,2095.5,67.78873444,2095.5,63.80093765,2095.5,60.91287231,2095.5,53.92579269,2095.5,51.41292191,2095.5,51.1947403,2095.5,53.72141647,2095.5,50.13148117,2095.5,49.20409393,2095.5,52.04473114
2095,76.2069931,2095,0.300939769,2095,100.6206741,2095,99.70568085,2095,66.24559021,2095,67.46459198,2095,65.16384125,2095,66.7641449,2095,68.23674011,2095,62.64627075,2095,60.35459518,2095,53.02969742,2095,51.21694946,2095,51.42052841,2095,53.13789749,2095,50.52388382,2095,49.37831879,2095,51.4202652
2094.5,75.70475006,2094.5,-0.010208259,2094.5,100.3504181,2094.5,100.734726,2094.5,67.49303436,2094.5,67.04573059,2094.5,65.84411621,2094.5,67.06763458,2094.5,68.44900513,2094.5,63.72045135,2094.5,60.08006287,2094.5,54.20204926,2094.5,51.62772369,2094.5,51.92310333,2094.5,53.76477051,2094.5,51.08744049,2094.5,49.69097137,2094.5,51.62276077
2094,75.82117462,2094,0.696198762,2094,100.4405518,2094,100.5509033,2094,67.25389862,2094,67.47753906,2094,65.89347076,2094,67.08804321,2094,68.02503204,2094,63.48492432,2094,60.00636292,2094,53.70842743,2094,51.34330368,2094,51.55515671,2094,53.73540497,2094,49.87197113,2094,49.17520142,2094,51.53493881
2093.5,75.76457977,2093.5,-0.167357311,2093.5,100.7861023,2093.5,100.6812668,2093.5,67.69271851,2093.5,66.59583282,2093.5,65.74134064,2093.5,67.04877472,2093.5,68.56039429,2093.5,63.6933403,2093.5,61.13809967,2093.5,54.59279251,2093.5,51.91663361,2093.5,51.50517654,2093.5,53.20288467,2093.5,50.81263733,2093.5,49.32885361,2093.5,52.57315826
2093,76.1810379,2093,0.203818917,2093,100.6099854,2093,100.5813446,2093,66.66504669,2093,67.68618774,2093,65.28779602,2093,67.10964203,2093,67.84456635,2093,63.45765686,2093,60.48095703,2093,53.11754227,2093,51.50808716,2093,51.60427094,2093,52.6735611,2093,50.65491104,2093,49.52877045,2093,51.83100891
2092.5,76.35240173,2092.5,-0.029298322,2092.5,100.0336761,2092.5,100.6523285,2092.5,67.07886505,2092.5,67.37917328,2092.5,65.36075592,2092.5,67.67572784,2092.5,67.81713867,2092.5,63.18128586,2092.5,60.28490829,2092.5,53.50829315,2092.5,51.09141541,2092.5,51.50712204,2092.5,53.66761017,2092.5,50.63954163,2092.5,48.46968079,2092.5,51.4240036
2092,77.02154541,2092,0.606089294,2092,99.28144836,2092,98.68382263,2092,66.21026611,2092,66.79561615,2092,65.39746857,2092,66.16936493,2092,66.80833435,2092,62.32178879,2092,59.31690979,2092,51.91833878,2092,50.90858841,2092,50.76833344,2092,51.75715256,2092,49.26486588,2092,47.87354279,2092,50.76842499
2091.5,76.10932922,2091.5,0.432405561,2091.5,99.93463898,2091.5,99.9165802,2091.5,66.84429932,2091.5,67.84444427,2091.5,65.07958984,2091.5,67.40604401,2091.5,68.10453796,2091.5,62.63344955,2091.5,60.22605133,2091.5,53.9821167,2091.5,51.28504562,2091.5,51.64151764,2091.5,53.03054428,2091.5,50.32897186,2091.5,49.8371315,2091.5,51.87836456
2091,76.66548157,2091,0.561463296,2091,99.83056641,2091,99.76908112,2091,66.32770538,2091,67.35310364,2091,65.16188812,2091,65.668396,2091,67.09473419,2091,62.64348602,2091,59.82649994,2091,53.42346573,2091,50.47187042,2091,51.1613121,2091,52.217453,2091,49.06919861,2091,49.97448349,2091,50.0639801
2090.5,76.7989502,2090.5,-0.247601658,2090.5,99.53403473,2090.5,99.46656799,2090.5,67.20411682,2090.5,66.89811707,2090.5,65.39931488,2090.5,67.02542114,2090.5,67.319664,2090.5,63.50051117,2090.5,59.87994003,2090.5,53.46884155,2090.5,51.34449768,2090.5,51.41289902,2090.5,53.15259552,2090.5,49.52724075,2090.5,49.11177063,2090.5,52.52060318
2090,76.14350128,2090,-0.141315863,2090,100.1386185,2090,101.0975952,2090,67.14523315,2090,67.64625549,2090,65.75540161,2090,67.07772064,2090,68.03305817,2090,63.61116028,2090,60.13990784,2090,53.53966522,2090,51.27574158,2090,51.09645081,2090,53.63124466,2090,50.92725754,2090,49.4095192,2090,52.04019547
2089.5,76.85632324,2089.5,0.282058001,2089.5,99.84745026,2089.5,100.08284,2089.5,66.35759735,2089.5,66.71781921,2089.5,64.7438736,2089.5,66.42401123,2089.5,67.74788666,2089.5,62.57245636,2089.5,59.1968956,2089.5,53.21025085,2089.5,50.67962265,2089.5,51.22678757,2089.5,52.51926041,2089.5,49.350811,2089.5,47.9633255,2089.5,50.99197769
2089,76.24635315,2089,0.52290839,2089,99.62892151,2089,100.2526245,2089,66.78973389,2089,67.03316498,2089,65.16046143,2089,67.03610229,2089,66.74969482,2089,63.53661346,2089,60.01013947,2089,53.09398651,2089,50.92937851,2089,51.4931488,2089,53.05998993,2089,49.22281265,2089,49.20697784,2089,51.42319107
2088.5,76.83660889,2088.5,-0.180508435,2088.5,99.23552704,2088.5,99.42637634,2088.5,66.68003845,2088.5,66.48934937,2088.5,65.02903748,2088.5,66.92741394,2088.5,67.77210999,2088.5,62.70772171,2088.5,59.34235382,2088.5,54.12626266,2088.5,51.28900528,2088.5,51.7531929,2088.5,52.39671326,2088.5,50.17043304,2088.5,48.65256119,2088.5,51.44942474
2088,76.46208191,2088,0.149492696,2088,99.23255157,2088,99.9959259,2088,66.61792755,2088,66.47164154,2088,65.76631927,2088,67.08701324,2088,67.75361633,2088,62.94683075,2088,59.87057495,2088,54.09541702,2088,51.00802612,2088,51.06013489,2088,53.91617966,2088,50.01769257,2088,48.87137222,2088,51.77635956
2087.5,75.91678619,2087.5,0.134316355,2087.5,101.0057449,2087.5,101.3426819,2087.5,67.2955246,2087.5,67.54392242,2087.5,65.71456146,2087.5,67.63404846,2087.5,68.29045105,2087.5,63.6763382,2087.5,60.02248001,2087.5,53.78879929,2087.5,51.75829697,2087.5,51.54878616,2087.5,53.79320526,2087.5,50.27926636,2087.5,49.25296402,2087.5,51.63427734
2087,77.7779541,2087,0.695830584,2087,98.74777985,2087,97.73890686,2087,65.27301788,2087,65.92810059,2087,63.91792297,2087,65.02932739,2087,65.9908371,2087,62.09511185,2087,58.74315643,2087,52.60655975,2087,50.20601654,2087,49.83215714,2087,52.02782059,2087,49.08824158,2087,48.12979507,2087,50.45779419
2086.5,76.27245331,2086.5,0.041237734,2086.5,100.176796,2086.5,100.5067215,2086.5,66.52188873,2086.5,67.11037445,2086.5,65.38990021,2086.5,67.60391235,2086.5,67.77598572,2086.5,63.34553528,2086.5,59.68523788,2086.5,53.69342041,2086.5,51.34822845,2086.5,51.29055405,2086.5,53.21081924,2086.5,50.08269119,2086.5,49.03683853,2086.5,51.8056221
2086,76.37039185,2086,-0.106051751,2086,100.6019974,2086,100.9363403,2086,66.85005951,2086,67.50882721,2086,65.44715118,2086,67.03045654,2086,67.20849609,2086,62.70695496,2086,59.98481369,2086,53.24462128,2086,51.29730225,2086,51.29450607,2086,53.16741943,2086,49.96218872,2086,49.51607132,2086,51.71810913
