Baseline 100%T,,Baseline 0%T,,blanco,,blanco1,,t1_casca,,t1_topo,,t1_meio,,t1_base,,s1_0_20,,s1_20_40,,s1_40_60,,t4_casca,,t4_topo,,t4_meio,,t4_base,,s4_0_20,,s4_10_40,,s4_40_60,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R
2493.5,70.6047287,2493.5,-0.890882671,2493.5,98.9017868,2493.5,100.5929337,2493.5,53.58300781,2493.5,53.41670609,2493.5,51.27862167,2493.5,50.25342178,2493.5,55.00912476,2493.5,48.08974075,2493.5,42.88284302,2493.5,45.08636093,2493.5,44.99076843,2493.5,44.39023209,2493.5,47.36289978,2493.5,45.02227402,2493.5,43.43622589,2493.5,46.95352554
2493,70.46658325,2493,0.504111767,2493,99.79393768,2493,99.0258255,2493,53.68610764,2493,50.34205246,2493,50.20165253,2493,50.8311882,2493,58.3715744,2493,46.4514122,2493,41.55934906,2493,46.87993622,2493,45.15142822,2493,44.78631592,2493,45.22704697,2493,44.53425598,2493,41.90842819,2493,44.45795059
2492.5,69.35089874,2492.5,-0.25320065,2492.5,101.0867844,2492.5,102.333786,2492.5,53.89442444,2492.5,54.26699066,2492.5,51.18396378,2492.5,49.99335098,2492.5,55.34668732,2492.5,49.84189606,2492.5,43.08261108,2492.5,50.48142242,2492.5,45.59280396,2492.5,44.81075668,2492.5,47.95431137,2492.5,45.23151398,2492.5,43.79365158,2492.5,45.79796982
2492,70.62110901,2492,-0.065390885,2492,99.54607391,2492,98.36455536,2492,51.20094299,2492,51.29948425,2492,49.97272873,2492,51.46210861,2492,54.58547974,2492,48.06208801,2492,43.40219116,2492,47.76418304,2492,44.8831749,2492,45.2148056,2492,47.91563416,2492,43.9153595,2492,44.9406929,2492,47.18061829
2491.5,69.88711548,2491.5,1.122294784,2491.5,100.2737503,2491.5,100.719574,2491.5,52.28755951,2491.5,52.42156219,2491.5,49.6797905,2491.5,49.16526413,2491.5,55.13464737,2491.5,48.47093964,2491.5,41.95956039,2491.5,47.25826645,2491.5,43.68198776,2491.5,45.21378326,2491.5,45.59079742,2491.5,44.5986824,2491.5,41.96754837,2491.5,45.51664734
2491,70.48777008,2491,0.267366648,2491,100.0563736,2491,100.756279,2491,52.86356354,2491,51.00796127,2491,50.72580719,2491,51.81480026,2491,53.00656128,2491,47.98063278,2491,41.96928406,2491,47.45560837,2491,44.41681671,2491,44.75404358,2491,47.07091904,2491,42.85322571,2491,43.0541954,2491,44.89816666
2490.5,70.19497681,2490.5,-1.279986262,2490.5,100.0452881,2490.5,99.10548401,2490.5,53.72996521,2490.5,54.13609314,2490.5,51.88366318,2490.5,52.07266998,2490.5,54.90022278,2490.5,48.59414673,2490.5,42.69166183,2490.5,47.45399857,2490.5,44.78104019,2490.5,44.85260773,2490.5,52.59372711,2490.5,47.63266754,2490.5,44.73201752,2490.5,46.00295258
2490,70.04821014,2490,0.154643804,2490,99.73736572,2490,99.81604004,2490,52.33519745,2490,51.97468567,2490,47.47522354,2490,50.15415955,2490,55.41895676,2490,47.94559479,2490,42.02476883,2490,47.31650162,2490,45.85776901,2490,47.97579193,2490,48.38303757,2490,44.97667694,2490,42.63604736,2490,46.48429489
2489.5,70.68698883,2489.5,0.330861896,2489.5,100.1567154,2489.5,100.9727936,2489.5,51.15723038,2489.5,52.12781906,2489.5,50.51260757,2489.5,51.23678589,2489.5,55.05054092,2489.5,48.46588898,2489.5,43.42281342,2489.5,45.47957993,2489.5,43.28768921,2489.5,44.35021591,2489.5,45.43461227,2489.5,44.58419037,2489.5,43.21875,2489.5,45.50074768
2489,71.07531738,2489,0.011906644,2489,98.55298615,2489,99.5675354,2489,52.54259109,2489,52.82524109,2489,50.03846359,2489,51.12322998,2489,53.30608368,2489,47.7775116,2489,42.76714706,2489,46.94055176,2489,44.22047043,2489,45.76021576,2489,46.70875931,2489,44.86792374,2489,43.24971008,2489,45.18411636
2488.5,70.31584167,2488.5,-0.544376552,2488.5,100.1894608,2488.5,99.32444,2488.5,51.86170959,2488.5,52.80601501,2488.5,51.65522003,2488.5,52.57564926,2488.5,54.35444641,2488.5,49.51334763,2488.5,45.05926895,2488.5,48.84236526,2488.5,45.31892395,2488.5,44.77407837,2488.5,47.83285141,2488.5,46.44809341,2488.5,43.60628128,2488.5,46.93396759
2488,71.5628891,2488,0.286065131,2488,99.44612885,2488,98.58492279,2488,51.93947601,2488,51.86504745,2488,49.13731003,2488,50.76140594,2488,53.10617828,2488,47.61791992,2488,41.96808243,2488,45.95500946,2488,45.23797226,2488,42.89347076,2488,46.70104218,2488,44.13588715,2488,49.61246109,2488,45.39446259
2487.5,69.78973389,2487.5,0.02255681,2487.5,101.1570587,2487.5,102.213501,2487.5,53.63765335,2487.5,52.43621445,2487.5,50.89669037,2487.5,52.93024063,2487.5,53.92802429,2487.5,48.64333725,2487.5,42.95648956,2487.5,48.22996521,2487.5,44.70566559,2487.5,44.76316452,2487.5,47.67196655,2487.5,44.51206589,2487.5,43.97064972,2487.5,45.68714523
2487,70.00128174,2487,0.929884434,2487,100.9889984,2487,100.5772095,2487,52.21611404,2487,52.00834274,2487,48.94252396,2487,51.76514435,2487,53.44839096,2487,48.74324036,2487,41.73822021,2487,47.22209167,2487,44.70162964,2487,44.22558594,2487,45.97306061,2487,43.58419037,2487,42.86307526,2487,45.33520889
2486.5,70.85199738,2486.5,-0.238549367,2486.5,99.8001709,2486.5,99.95518494,2486.5,53.19611359,2486.5,51.71992111,2486.5,50.971241,2486.5,51.53042221,2486.5,54.49246216,2486.5,47.25386429,2486.5,42.85119629,2486.5,47.07715988,2486.5,45.52252579,2486.5,43.6807251,2486.5,46.6240921,2486.5,44.51712799,2486.5,44.85743332,2486.5,45.40848923
2486,69.06770325,2486,-0.566203117,2486,102.5146027,2486,101.4255905,2486,53.40613556,2486,55.19849014,2486,51.40722275,2486,54.20378876,2486,55.35055542,2486,51.25505447,2486,44.77500916,2486,48.51693344,2486,46.56669617,2486,46.02457809,2486,49.71416473,2486,46.05176544,2486,45.31220627,2486,46.94638062
2485.5,71.10583496,2485.5,-0.332929015,2485.5,98.22399902,2485.5,97.90909576,2485.5,53.74599075,2485.5,52.05609131,2485.5,50.26576996,2485.5,53.33279419,2485.5,54.58756638,2485.5,46.97673798,2485.5,42.30538559,2485.5,47.74594116,2485.5,44.60633469,2485.5,45.42917252,2485.5,46.9753418,2485.5,44.94036484,2485.5,38.18933487,2485.5,46.24201965
2485,70.59602356,2485,0.776602149,2485,100.974968,2485,99.98035431,2485,52.84022522,2485,52.55921555,2485,50.29708099,2485,51.2773819,2485,53.81126404,2485,46.50498199,2485,41.7363472,2485,46.66069412,2485,45.88625336,2485,43.99450684,2485,47.20795059,2485,44.24741745,2485,43.51223373,2485,45.67265701
2484.5,70.66542816,2484.5,0.823188484,2484.5,99.79911804,2484.5,99.88987732,2484.5,52.33966827,2484.5,51.71235275,2484.5,49.89590836,2484.5,51.64865112,2484.5,53.57706451,2484.5,48.37393188,2484.5,42.27227402,2484.5,48.31407928,2484.5,44.21390915,2484.5,45.07049179,2484.5,45.32999802,2484.5,44.49173737,2484.5,42.12342072,2484.5,45.20981216
2484,71.34994507,2484,0.40151304,2484,99.80748749,2484,99.07975769,2484,51.30539703,2484,52.70874023,2484,49.9973793,2484,50.53203201,2484,51.54977417,2484,49.49118042,2484,41.95027542,2484,47.37205887,2484,42.42378616,2484,44.76791382,2484,46.13471603,2484,45.05574799,2484,46.43862915,2484,45.06438828
2483.5,71.01902008,2483.5,-0.979887605,2483.5,99.33544159,2483.5,98.75384521,2483.5,53.13584137,2483.5,52.68198395,2483.5,52.20820999,2483.5,52.5712204,2483.5,56.62618256,2483.5,48.63364029,2483.5,43.46379852,2483.5,47.51057434,2483.5,45.07767868,2483.5,47.37881851,2483.5,47.40704727,2483.5,46.62511826,2483.5,43.18764496,2483.5,46.05983353
2483,70.28913879,2483,-0.201381326,2483,101.1605835,2483,101.0412674,2483,52.79942703,2483,52.63137054,2483,51.55802536,2483,53.00905228,2483,56.20622635,2483,49.91412354,2483,43.69414902,2483,48.99147034,2483,45.63190842,2483,45.09597015,2483,47.96936798,2483,45.90387726,2483,43.57461166,2483,46.55284119
2482.5,70.4311142,2482.5,-0.611428142,2482.5,100.3748932,2482.5,99.75497437,2482.5,53.3731041,2482.5,53.31708145,2482.5,50.89827347,2482.5,53.20756531,2482.5,55.30568314,2482.5,49.12973404,2482.5,43.45788193,2482.5,49.33084488,2482.5,44.73731232,2482.5,45.87445831,2482.5,48.81961823,2482.5,45.80572128,2482.5,41.84771347,2482.5,46.93195343
2482,69.70941162,2482,0.449508935,2482,101.1564713,2482,101.2067184,2482,53.40662003,2482,53.51237488,2482,49.86019135,2482,53.16377258,2482,54.93292236,2482,48.63913345,2482,43.30551147,2482,48.12759018,2482,46.5230484,2482,45.62398911,2482,47.65567017,2482,45.61530304,2482,44.10510254,2482,46.11643982
2481.5,70.6909256,2481.5,0.45745033,2481.5,99.68388367,2481.5,99.66629791,2481.5,51.77816772,2481.5,53.82596207,2481.5,50.90982437,2481.5,52.10566711,2481.5,54.72160721,2481.5,48.04281235,2481.5,42.38660812,2481.5,47.06104279,2481.5,44.27531815,2481.5,44.46400833,2481.5,46.88157272,2481.5,45.32173157,2481.5,43.18506622,2481.5,46.62393951
2481,70.08036041,2481,0.301312625,2481,101.0926208,2481,100.5934372,2481,53.27634811,2481,52.39014053,2481,51.8279686,2481,54.57867432,2481,55.14017868,2481,50.41111755,2481,43.23367691,2481,47.37728882,2481,47.25535583,2481,45.74313354,2481,46.62286758,2481,44.29053879,2481,44.88178253,2481,45.84090424
2480.5,70.71131134,2480.5,-0.188826099,2480.5,99.07644653,2480.5,99.56023407,2480.5,53.32769012,2480.5,52.87979889,2480.5,51.33193207,2480.5,51.96028519,2480.5,53.80751038,2480.5,49.01530075,2480.5,43.35678101,2480.5,47.77437973,2480.5,44.97624588,2480.5,46.21557999,2480.5,47.36196899,2480.5,46.28635788,2480.5,42.63155365,2480.5,47.18719101
2480,70.44350433,2480,0.35346055,2480,100.1535797,2480,100.7454376,2480,53.12863159,2480,51.74102783,2480,50.89312363,2480,52.8417511,2480,54.10234833,2480,48.98367691,2480,41.84350204,2480,47.37893677,2480,44.50186539,2480,45.55645752,2480,46.91949081,2480,44.33699417,2480,43.61271667,2480,45.79720306
2479.5,71.10970306,2479.5,-0.362072647,2479.5,100.0044937,2479.5,98.96354675,2479.5,54.68250656,2479.5,51.51715088,2479.5,51.52916336,2479.5,52.34371567,2479.5,55.22951508,2479.5,48.95121002,2479.5,45.88484573,2479.5,48.32413864,2479.5,47.83287811,2479.5,44.68350601,2479.5,46.5142746,2479.5,44.75531006,2479.5,43.84132767,2479.5,46.00825882
2479,70.80828857,2479,0.442736328,2479,99.69874573,2479,99.56636047,2479,53.15217972,2479,52.41687775,2479,50.56541061,2479,51.59983826,2479,55.12100983,2479,47.15722656,2479,41.80909729,2479,48.03197479,2479,44.9641304,2479,44.48762894,2479,47.44216919,2479,45.65740967,2479,43.99747849,2479,45.42171097
